VERIFICATION STATUS,ORGANIZATION,CATEGORY,EMAIL ,PHONE,ADDRESS,WEBSITE,Services Provided,Hours of Service,Comment,latitude,longitude
Verified,ACTS Beverly Warren Emergency Homeless Shelter,Housing Utilities Finances,info@actspwc.org,703-221-3188,"17866 Main Street, Dumfries, VA 22026",https://actspwc.org/housing-assistance/,"The ACTS Beverly Warren Emergency Homeless Shelter provides emergency short-term housing to families and singles. Serves up to 18. Room and board are free; the shelter is open 24 hours a day for single females or families with children. Services include intensive case management, life skills training, and computer access for job and housing search. The ultimate goal of our program is the clients’ self-sufficiency.

If you are 
- Homeless
- Facing eviction
- Living on the street
- Living in an unsuitable for human habitation facility
Case managers offer guidance in applying for assistance to become self-sufficient, find permanent housing, and limited employment services, including Social Security and SNAP.","Available 24/7 Yes
Additional Availability Comments
Assistance hours Mondays and Thursdays 9 - 11:30 am and 1 - 3 pm; Tuesdays 1 - 3:30 pm and 5 - 6:30 pm.","Intake Process Appointment is required. Call 703-441-8606 during service hours to schedule an appointment. Documentation needed at time of appointment.
Documents Required Picture ID , Proof of address , Income verification",38.5649964,-77.3299755
Verified,ACTS Domestic Violence Support,Family,info@actspwc.org,(703) 221-4951,"3900 ACTS lane, Dumfries, VA 22026",https://actspwc.org/domestic-violence/,"ACTS DOMESTIC VIOLENCE SERVICES’ (TURNING POINTS) MISSION IS TO EMPOWER VICTIMS TO BUILD LIVES FREE OF VIOLENCE THROUGH THE MANY SERVICES WE PROVIDE ON THEIR BEHALF.

These services include an 18-bed shelter, court advocacy and accompaniment; crisis counseling, safety planning and psycho-educational support groups for adults and children; a 24-hour hot line; groups for court-ordered men and women; specialized services for Spanish speaking victims; community education as well as training for allied professionals, staff and potential volunteers.

*Domestic Violence Services are offered in English and Spanish",,Domestic Violence Hotline 24/7 support (703) 221-4951,38.5631747,-77.3290854
Verified,ACTS Food Assitance,Food,info@actspwc.org,(703) 441-8606,"3900 ACTS Lane, Dumfries, VA 22026",https://www.actspwc.org/services/food-assistance,"ACTS' food pantry provides food assistance to residents of the Greater Prince William Area, including the Cities of Manassas and Manassas Park. Clients who meet eligibility and bring the appropriate documents may obtain assistance once per month.

Ongoing assistance provides the following:

- Main Bag
- USDA Bag (if qualified)
- Meat
- Vegetables
- Toiletries
- Pet Food

Visitors without documentation will be provided one time assistance with an Emergency Bag, Main Bag, Bread, and Peanut Butter.

Food is distributed on a walk-in basis during operating hours. No appointment is needed. Food Assistance Services are offered in English and Spanish.","Main Location:
Sunday: Closed
Monday: 8:00 AM - 5:00 PM EST
Tuesday: 8:00 AM - 5:00 PM EST
Wednesday: 8:00 AM - 5:00 PM EST
Thursday: 8:00 AM - 5:00 PM EST
Friday: 8:00 AM - 5:00 PM EST
Saturday: Closed

ACTS Hunger Prevention Center:
Notes: Closed daily 11:30-12:30.
Sunday: Closed
Monday: 9:00 AM - 3:00 PM EST
Tuesday: 9:00 AM - 3:00 PM EST
Wednesday: 9:00 AM - 3:00 PM EST
Thursday: 9:00 AM - 3:00 PM EST
Friday: 9:00 AM - 3:00 PM EST
Saturday: Closed","Languages: English, Spanish
Documents Required
Identification:Photo I.D (required at each visit)
Proof of Income:Pay stubs or benefit/award letters or current bank statement etc. (required at each financial assistance visit)
Proof of Residency:Lease/Mortgage papers, piece of mail postmarked in the last 30 days etc. (required at initial visit and any time you move)
Household Member Documents:Birth Certificate or Social Security Card for persons under 18 years OR a piece of mail with the person’s name on it postmarked within the last 30 days for persons over 18 (*""residing in the home” means: anyone physically living on the property even if they are not a member of your immediate family).",38.5631748,-77.3290854
Verified,ACTS Thrfit Store,Clothing,cwillut@actspwc.us,(703) 221-3298,"3661 Canal Road, Dumfries, VA 22026",https://www.actspwc.org/thrift-store,"ACTS Family Assistance sells good used clothing, furniture, appliances and household goods and other items to anyone at a reasonable cost.  ACTS Family Assistance offers Thrift Stores Vouchers to eligible individuals.   All proceeds support ACTS services and programs.  The Thrift Store is located at 3661 Canal Road, Dumfries, VA 22026, 703-221-3298.","Monday - 10am-5pm
Tuesday, Wednesday Thursday & Friday - 10am-5pm
Saturday - 10am-5pm","Intake Process Walk-in
Documents Required Picture ID , Proof of address , Income verification
Self Refer Yes
Intake Contact Email cwillut@actspwc.us",38.5687205,-77.3221671
Verified,Adams Compassionate Healthcare Network,Medical and Healthcare,contact@achnhealth.org,(703) 542-3366,"4431 Brookfield Corporate Drive, Unit F Chantilly, VA 20151",https://achnhealth.org/,"Founded in 2013, ACHN is dedicated to providing medical services to low-income and uninsured individuals. As our name suggests, we provide compassionate, quality healthcare to the most vulnerable of our population for free or at low cost.

Our comprehensive services are made possible thanks to the dedication and time of our community health partners and volunteer network of over 80 medical volunteers which include 15 primary care physicians, 32 specialists, and 33 medical volunteers, assistants, and student trainees.","Clinic Hours
Monday – 9:00am-3:00pm
Tuesday – 9:00am-3:00pm
Wednesday – 9:00am-3:00pm
Saturday – 9:00am-12:00pm",,38.8853636,-77.43770910000000
Verified,The Prince William - Manassas Regional Adult Detention Center,Detention Services ,adc@pwcgov.org,(703)792-6420,"9320 Lee Ave., Manassas, VA 20110",https://www.pwcva.gov/department/adult-detention-center,"The Prince William - Manassas Regional Adult Detention Center serves Prince William County, including the towns of Occoquan, Quantico, Triangle, Dumfries, and Haymarket. The jail also serves the independent cities of Manassas, and Manassas Park. The Detention Center’s mission is to provide secure, safe, and healthful housing of prisoners; ensure staff safety; conduct rehabilitative programs that reduce recidivism following release; and to do so in as cost-effective a manner as possible.",8 a.m. until 4 p.m. Monday through Friday excluding holidays,,38.75217,-77.48004
Verified,Adult Day Healthcare,Family,pwaaa@pwcgov.org,703-792-4990,"Dr. A.J. Ferlazzo Building, 15941 Donald Curtis Drive, Woodbridge, VA, 22191",https://www.pwcva.gov/department/area-agency-aging/adult-day-care,"The Prince William Area Agency on Aging is licensed by the Virginia Department of Social Services and contracted through Medicaid to provide Adult Day Healthcare services to eligible residents of Prince William County, the City of Manassas, and the City of Manassas Park. The program offers group-based activities, personal care, and health monitoring to adults aged 18 and above who are unable to stay alone at home during the day for various reasons. The program also provides crucial respite care to families who provide caregiving.

Eligibility is determined by an Agency Supportive Services Specialist. If interested call the Information & Assistance staff at 703-792-6374 or email pwaaa@pwcgov.org to initiate an in-home assessment.

Our center offers a variety of activities such as music therapy, birthday parties, games, pet visits, holiday parties, and many more fun activities.",The Adult Day Care Center is open Monday through Friday 7 a.m. until 6 p.m.,,38.6082405,-77.29555530000000
Verified,AI-Anon Service Center of Northern VA,Mental Health Substance Use,Info@alanonva.com,703-534-4357,"8569 Sudley Road, Suite A, Manassas, VA  20110",https://alanonva.com/,"Al-Anon Family Groups are a fellowship of relatives and friends of alcoholics who share their experience, strength and hope in order to solve their common problems.",,,38.7702939,-77.49060320000000
Verified,Apply for Public Assistance -- Department of Social Services,Family,,(703) 792-7500,"7987 Ashton Avenue, Suite 200, Manassas, VA 20109",https://www.pwcva.gov/department/social-services/apply-public-assistance,"Skip the Trip and avoid the lines for fast, easy and convenient service. You can conduct most of your SNAP, Medicaid and TANF business without the need to visit the office.",,,38.78830261,-77.51921230000000
Verified,Apply for Public Assistance -- Department of Social Services,Family,,(703) 792-7500,"15941 Donald Curtis Drive, Suite 180, Woodbridge, VA 22191",https://www.pwcva.gov/department/social-services/apply-public-assistance,"Skip the Trip and avoid the lines for fast, easy and convenient service. You can conduct most of your SNAP, Medicaid and TANF business without the need to visit the office.",,,38.6081057,-77.295493
